Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	rawdata/HREC_P_3.mzML	rawdata/HREC_ETIS_1.mzML	rawdata/HREC_P_1.mzML	rawdata/HREC_IRIS_2.mzML	rawdata/HREC_IRIS_1.mzML	rawdata/HREC_IRIS_3.mzML	rawdata/HREC_IRIS_4.mzML	rawdata/HREC_P_2.mzML	rawdata/HREC_ETIS_2.mzML	rawdata/HREC_ETIS_3.mzML	rawdata/HREC_ETIS_4.mzML	rawdata/HREC_P_4.mzML
A8K0Z3;C4AMC7;Q6VEQ5	A8K0Z3;C4AMC7;A8MWX3;Q6VEQ5	WASH1_HUMAN;WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P;WASHC1	WASH complex subunit 1	29562.7	54397.1	53915.7	88363.4	42512.5	39678	37346.2	47515.2	54474	37706.7	27901.2	26851.9
A8K855	A8K855	EFCB7_HUMAN	EFCAB7	EF-hand calcium-binding domain-containing protein 7					46319		38265.9			33845.6		24463.9
A8MQ02	F8W9I4;E9PFY5;A8MQ02	A8MQ02_HUMAN	AFDN	Afadin			25861.6									
A8MT33	A8MT33	SYC1L_HUMAN	SYCE1L	Synaptonemal complex central element protein 1-like		45824		46396.9	47874.7	46191.6	55614.6	44850	53516.7	54491.4	49520.5	31987.9
A8MT69	A8MT69;J3QRS1	CENPX_HUMAN	CENPX	Centromere protein X			31313.4					40034.4				34672.9
A8MWD9;P62308	A8MWD9;P62308;Q49AN9;F5H013	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	3.0192e+06	2.47008e+06	4.50196e+06	4.70735e+06	4.47077e+06	4.92132e+06	4.76318e+06	3.02688e+06	4.83006e+06	4.53634e+06	4.39342e+06	5.30734e+06
A8MXV4	A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	144706	666039	190272	792078	648263	659599	770914	404056	648060	646899	710285	398999
B1AK87;B1AK88	B1AK88;B1AK87	B1AK87_HUMAN;B1AK88_HUMAN	CAPZB	F-actin-capping protein subunit beta	878960	809894	654859	1.15441e+06	952578	1.22553e+06	903678	772200	969026	1.10245e+06	904619	756066
B1ALY0	Q8IXS6;B1ALY0;C9JA33;C9JZH4	B1ALY0_HUMAN	PALM2AKAP2	PALM2 and AKAP2 fusion (Fragment)	201497	172671	222443	126286	150470	155507	152912	233931	148852	104077	122364	226563
B2RTY4	B2RTY4;H3BMM1;H3BRD5	MYO9A_HUMAN	MYO9A	Unconventional myosin-IXa	54130.2	58324.4	18496.9	37962.7	41742.9	50247.7	36032.8	52348	34687.4	41827.5	48326.8	37545.6
B2RUZ4	B2RUZ4;H3BS66;A0A2R8Y7R4	SMIM1_HUMAN	SMIM1	Small integral membrane protein 1		77488		103337	73519.5	120174	94595.7		79107.4	111862	107381	78984.6
B4DKY1	P49589;B4DKY1	B4DKY1_HUMAN	CARS1	Cysteinyl-tRNA synthetase 1	1.97656e+06	2.06927e+06	1.97222e+06	2.36001e+06	2.39313e+06	2.281e+06	2.18954e+06	1.91588e+06	1.97622e+06	1.95206e+06	2.04246e+06	2.01084e+06
B4DQA8;E9PCW1	B4DQA8;E9PCW1	B4DQA8_HUMAN;E9PCW1_HUMAN	GOSR1	Golgi SNAP receptor complex member 1					68350.1				76722.7	77443		
B4DR80	B4DR80	B4DR80_HUMAN	STK24	Serine/threonine-protein kinase 24	215944	243827	188853	204307	264559	202274	197985	244557	299536	262215	203158	285774
B7Z7D2	B7Z7D2	B7Z7D2_HUMAN	ACP2	Lysosomal acid phosphatase	261959		286971					65887.2			128401	
B7Z8V7	B7Z8V7	B7Z8V7_HUMAN	NADK2	NAD kinase 2, mitochondrial				574276	562592	524240	552670	502493	536592	569112	575477	503896
B7ZAQ6	B7ZAQ6;P0CG08;U3KPV2;A0A087WW82;E9PKY3	GPHRA_HUMAN	GPR89A	Golgi pH regulator A	408564	407351	370526	499193	513990	513923	533264	412574	511965	500436	484396	504111
B7ZBB8	B7ZBB8	PP13G_HUMAN	PPP1R3G	Protein phosphatase 1 regulatory subunit 3G				26149.8		15905.5	21192.3		30684.6	31089.1	27244.6	
B7ZBL5	B7ZBL5	B7ZBL5_HUMAN	DENND1B	DENN domain-containing protein 1B (Fragment)								7990.92				
B7ZKP5	B7ZKP5	B7ZKP5_HUMAN	ASTN2	ASTN2 protein				19284.6			34580.5	35125.8			20281.1	25484.5
B7ZW38;O60812;P0DMR1	P0DMR1;O60812;B7ZW38;A0A0G2JPF8	HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN	HNRNPCL1;HNRNPCL3;HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C-like 3						203597		90094.8	70445.5			
B8ZZ50	B8ZZ50	B8ZZ50_HUMAN	EIF4E2	Eukaryotic translation initiation factor 4E type 2		107264	64508.2		132651	177177	218039		129067	121710		
B8ZZA8	B8ZZA8;B8ZZC5	B8ZZA8_HUMAN	GLS	Glutaminase kidney isoform, mitochondrial	1.62777e+06	1.13056e+06	1.38849e+06	1.15786e+06	1.21549e+06	1.18424e+06	926833	2.06338e+06	1.08847e+06	1.2973e+06	1.09024e+06	1.67954e+06
C9J0J7	C9J0J7;G5E9Q6	C9J0J7_HUMAN	PFN2	Profilin										29174.2		
C9J3M0;C9JNZ1;C9JTZ5;C9JUW1;C9JVG3;C9JWG0;F2Z3H1;F2Z3P4;F8WC70	C9JUW1;F8WC70;F2Z3P4;C9J3M0;C9JWG0;F2Z3H1;C9JVG3;C9JTZ5;C9JNZ1	C9J3M0_HUMAN;C9JNZ1_HUMAN;C9JTZ5_HUMAN;C9JUW1_HUMAN;C9JVG3_HUMAN;C9JWG0_HUMAN;F2Z3H1_HUMAN;F2Z3P4_HUMAN;F8WC70_HUMAN	UGP2	UTP--glucose-1-phosphate uridylyltransferase (Fragment)		210869		177980	182743	160386	178445	194056	171450	183741	188255	169801
C9J647;F2Z2I0;F2Z2W5;F8WF03	C9J647;F2Z2I0;F2Z2W5;F8WF03	C9J647_HUMAN;F2Z2I0_HUMAN;F2Z2W5_HUMAN;F8WF03_HUMAN	SMPD4	Sphingomyelin phosphodiesterase 4 (Fragment)	34144.6	34085.4	39226.5	37760.4	32270.2	39380.5	35167.7	63031.2	35108.1	32355.3		32470
C9J7I0	C9J7I0	UMAD1_HUMAN	UMAD1	UBAP1-MVB12-associated (UMA)-domain containing protein 1				17160.2	12080.4	12272		9532.76	8279.43			
C9JFL8	C9JFL8	C9JFL8_HUMAN	TAF6	Transcription initiation factor TFIID subunit 6 (Fragment)											78927.7	74359.6
C9JLW8	C9JLW8;I3L317;I3L4Q0;I3L2L5	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	25396.3	85910.7		75831.5	59160.1	85893.3	84025.1			69537.1		56483.8
C9JRP1	C9JRP1	C9JRP1_HUMAN	SLC4A7	Anion exchange protein (Fragment)	69342.8	44661.2	25818.4	63922	57485.6	55354.2	43338.8	83761.5	50666.5	26055.5	37838.5	86917.9
C9JUZ5	C9JUZ5	C9JUZ5_HUMAN	PEX5L	PEX5-related protein (Fragment)					52215.2	86303.1						
C9JVY5	Q9Y2D5;C9JVY5	C9JVY5_HUMAN	PALM2AKAP2	PALM2 and AKAP2 fusion (Fragment)	1.07663e+06	1.47384e+06	873652	1.55757e+06	1.58393e+06	1.27918e+06	1.39135e+06	1.13687e+06	1.57356e+06	1.67576e+06	1.54909e+06	1.24858e+06
C9JWC3	C9J4Z9;C9J372;C9JWC3;C9JZ60;C9JG84;C9JN77;C9J9D3	C9JWC3_HUMAN	SORBS2	Sorbin and SH3 domain-containing protein 2 (Fragment)		34423.4						32489.4	34388.7			
D6R8Z7;D6RAX8;D6RBL1;D6RCK9;D6RD37;D6RDZ7;D6RDZ9	D6R8Z7;D6RDZ7;D6RD37;D6RDZ9;D6RCK9;D6RAX8;D6RBL1	D6R8Z7_HUMAN;D6RAX8_HUMAN;D6RBL1_HUMAN;D6RCK9_HUMAN;D6RD37_HUMAN;D6RDZ7_HUMAN;D6RDZ9_HUMAN	TSC22D3	TSC22 domain family protein 3 (Fragment)	35681.8		71886.3		28123.3			69628.6				66145.6
D6R9P3;D6RBZ0;D6RD18	D6RD18;D6RBZ0;D6R9P3	D6R9P3_HUMAN;D6RBZ0_HUMAN;D6RD18_HUMAN	HNRNPAB	Heterogeneous nuclear ribonucleoprotein A/B	742482	555663	490691	536097	595740	548859	627911	692061	549417	611935	521292	681312
D6RA13	D6RA13	D6RA13_HUMAN	NUP155	Nuclear pore complex protein Nup155	53492.1			83636.4				62338.9				79689.1
D6RBK6	D6RBK6	D6RBK6_HUMAN	AGTRAP	Type-1 angiotensin II receptor-associated protein								8563.12				
D6RBQ9	D6RBQ9	D6RBQ9_HUMAN	HNRNPD	Heterogeneous nuclear ribonucleoprotein D0 (Fragment)	43750.7	41517.8	54293.1	30781.8	54519.5	72588.3					37609.9	56924.6
D6RC85;D6REZ0	D6REZ0;D6RC85	D6RC85_HUMAN;D6REZ0_HUMAN	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1	766709	710216	671555	520552	565156	468645	673684	650209	606994	621824	666407	635667
D6RD97;D6RJ02;D6RJF2	D6RJF2;D6RJ02;D6RD97	D6RD97_HUMAN;D6RJ02_HUMAN;D6RJF2_HUMAN	PAIP1	Polyadenylate-binding protein-interacting protein 1 (Fragment)	71868	76825.5	60737.5	52024.5	80084.5	75686.6	63364.5	51874.4	60376.5	80437.1	61638	78201.5
D6RHJ5	D6RHJ5	D6RHJ5_HUMAN	RACK1	Receptor of-activated protein C kinase 1							38287.3	49589.4	52262.2	37205.6		
E5RG32	E5RG32	E5RG32_HUMAN	GPX3	Glutathione peroxidase (Fragment)				49522	44791.4	33396.2						
E5RJP2	E5RJP2	E5RJP2_HUMAN	SORBS3	Vinexin (Fragment)									25538.5			
E5RK69	E5RK69	E5RK69_HUMAN	ANXA6	Annexin	91741.6	132707	66055.2	69890.7	102890	98212.3	105978	88687.8	111200	118295	112779	98227.2
E7EM72;E7EWQ4	E7EM72;E7EWQ4	E7EM72_HUMAN;E7EWQ4_HUMAN	DGKI	Diacylglycerol kinase									77495.5			
E7EMZ9;E9PBC6;H0Y911;Q4VXL4	H0Y911;E7EMZ9;E9PBC6;Q4VXL4	E7EMZ9_HUMAN;E9PBC6_HUMAN;H0Y911_HUMAN;Q4VXL4_HUMAN	TACC2	Transforming acidic coiled-coil-containing protein 2				75027			45944.1	53613.8	44961		61169.6	
E7EN19	E7EN19	E7EN19_HUMAN	MAP4K4	Mitogen-activated protein kinase kinase kinase kinase 4	119333	91681.9	63333.2	103644	103264	148548	142334	113319	118836	76825.7	124856	101574
E7EPN9;H7C5N8	H7C5N8;E7EPN9	E7EPN9_HUMAN;H7C5N8_HUMAN	PRRC2C	Protein PRRC2C	117614	65912.9	100596		53615.9		33762.5	160576	81003.1	69837		157989
E7ERI8;E7EW49	E7ERI8;E7EW49	E7ERI8_HUMAN;E7EW49_HUMAN	CLASP2	CLIP-associating protein 2	212181	260896	220047	250952	257197	245364	253002	306776	243849	252579	253175	310797
E7ETB9;F6QMI7;Q5T0V7	F6QMI7;E7ETB9;Q5T0V7	E7ETB9_HUMAN;F6QMI7_HUMAN;Q5T0V7_HUMAN	DST	Dystonin (Fragment)		45771.2	31708.5	28966.6	19272.1			20117	24106.1	30575.5	33141.4	
E7ETY4	E7ETY4;E9PC69	E7ETY4_HUMAN	MARK2	Non-specific serine/threonine protein kinase		36315.3		16302.8	35925.3					25239.8	23862.5	10768.2
E7EVA0	E7EVA0	E7EVA0_HUMAN	MAP4	Microtubule-associated protein	107084	69075.2	130946	96366	88966.7	73361.1	78881.7	145871	77199	95970.9	87436.3	140352
E7EW58	E7EW58	E7EW58_HUMAN	LRRN3	Leucine-rich repeat neuronal protein 3 (Fragment)			574520	1.24941e+06							1.20377e+06	1.00023e+06
E7EX44;E9PGZ1	E7EX44;E9PGZ1	E7EX44_HUMAN;E9PGZ1_HUMAN	CALD1	Caldesmon	89785.9	1.28405e+06	63037.1	654017	714003	711590	593782	1.68814e+06	1.30454e+06	1.2436e+06	1.03492e+06	1.67605e+06
E9PAV3;Q13765	E9PAV3;Q13765;F8VNW4;F8W1N5;F8VZJ2;F8W0W4;H0YHX9	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	7.14754e+06	5.22819e+06	5.14184e+06	5.35684e+06	4.84756e+06	5.15188e+06	4.65796e+06	6.65372e+06	4.78021e+06	4.33602e+06	4.98517e+06	7.64305e+06
E9PGC5;H0Y6P5;Q5TG12	Q5TG12;H0Y6P5;E9PGC5	E9PGC5_HUMAN;H0Y6P5_HUMAN;Q5TG12_HUMAN	PTPRK	Receptor-type tyrosine-protein phosphatase kappa	54259.5					37318.3		54042.7				47037.6
E9PIE4	E9PIE4	E9PIE4_HUMAN	MTCH2	Mitochondrial carrier homolog 2 (Fragment)	396550	634656	463001	570359	584811	543314	588449	402273	545701	609450	610064	373193
E9PJ10;E9PK58;E9PLU6;E9PMP7;E9PMS6	E9PJ10;E9PLU6;E9PMS6;E9PMP7;E9PK58	E9PJ10_HUMAN;E9PK58_HUMAN;E9PLU6_HUMAN;E9PMP7_HUMAN;E9PMS6_HUMAN	LMO7	LIM domain only protein 7 (Fragment)	171876	186524	209496	107273	118479	109046	110771	247568	199965	179603	144595	223933
E9PJD7	E9PJD7	E9PJD7_HUMAN	CYHR1	Cysteine and histidine-rich protein 1		46405.3		51384	48628.9	47393.9	59279.7	30071.3	63810.6	55034.5	46536.7	33310.7
E9PKE3	E9PKE3	E9PKE3_HUMAN	HSPA8	Heat shock cognate 71 kDa protein	47093.2		48307.6	99119.7	123367	110035	126015	50579	103354	127871	115005	103213
E9PKU7;E9PNH1	E9PNH1;E9PKU7	E9PKU7_HUMAN;E9PNH1_HUMAN	GANAB	Neutral alpha-glucosidase AB				103038	138050	130362	138982	75977.6	84722.8	119632	139067	94808.8
E9PL71;E9PN91	E9PN91;E9PL71	E9PL71_HUMAN;E9PN91_HUMAN	EEF1D	Elongation factor 1-delta (Fragment)	11758.3	7877.63	19113.8		13724.4			20452	7852.15	13637.6		14568.1
E9PLP0	E9PLP0	E9PLP0_HUMAN	CARS1	Cysteinyl-tRNA synthetase 1	163887	260534	194659	242469	238995	211733	227829	224540	193072	221803	193222	229077
E9PLY5	E9PLY5	E9PLY5_HUMAN	MACF1	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 (Fragment)	325064	230550	332054	210055	234090	200677	211918	200439	221035	226178	189354	189887
E9PQG4	E9PQG4	E9PQG4_HUMAN	PDE4DIP	Myomegalin				103225			103323	95541.9				93221.1
E9PRG8	E9PRG8;A0A494BXY3;E9PLD3	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	225516	192016	332165	556956	288218	261126	352943	232522	303781	319707	258489	342571
F2Z3E4	F2Z3E4	F2Z3E4_HUMAN	NEPRO	Nucleolus and neural progenitor protein								160618			201186	180074
F2Z3K5;Q5JYR4;Q5JYR7	F2Z3K5;Q5JYR4;Q5JYR7	F2Z3K5_HUMAN;Q5JYR4_HUMAN;Q5JYR7_HUMAN	RPN2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (Fragment)	181267		216352	1.99401e+06	1.8504e+06	1.87041e+06	1.82873e+06	137731	1.94299e+06	1.94407e+06	1.86375e+06	1.71747e+06
F5GXE4	B4E107;F5GXE4	F5GXE4_HUMAN	ATE1	Arginyl-tRNA--protein transferase 1											29812.9	
F5GXS2	F5GXS2	F5GXS2_HUMAN	ACTN4	Alpha-actinin-4				113819	120096	124622	135620		122794	177198	152153	35644.2
F5GZI3;Q5VWV2	Q5VWV2;F5GZI3	F5GZI3_HUMAN;Q5VWV2_HUMAN	PARD3	Partitioning defective 3 homolog	31556.8		41158.2		22194.8	27021.9		29905.8				29833.8
F5H199;F5H7C4	F5H199;F5H7C4	F5H199_HUMAN;F5H7C4_HUMAN	MSRB3	Peptide-methionine (R)-S-oxide reductase (Fragment)	32730.4	27687.6	24846.8		16083	12351.8	15110.8	31070.1	15887.1	29285.5	21982.3	31208.6
F5H6I7	F5H6I7	F5H6I7_HUMAN	ATL3	Atlastin-3		78555.4	36520.3	89116.9	83016.7	62836.4	71900.6	60881.3	78088.1	61380.9	70425.9	
F5H8D7	F5H8D7	F5H8D7_HUMAN	XRCC1	DNA repair protein XRCC1	80674.5	71916	82343	75014.2	75769	52262.2	59952.2	125654	36249.9	64777.1	33526.2	109555
F8VZX2;H3BRU6	F8VZX2;H3BRU6	F8VZX2_HUMAN;H3BRU6_HUMAN	PCBP2	Poly(rC)-binding protein 2	12662.8		4541.32				11581.6			14094		14452.2
F8W914	F8W914	F8W914_HUMAN	RTN4	Reticulon	842474	1.3581e+06	194448	7.73765e+06	6.96561e+06	5.40777e+06	6.13581e+06	262930	5.77563e+06	6.75543e+06	7.21587e+06	6.54224e+06
F8WAR6;F8WER6	F8WAR6;F8WER6	F8WAR6_HUMAN;F8WER6_HUMAN	KIF3C	Kinesin-like protein		54490.7	41253.8	61047.3	56656.4	50863.5	53373.5	44807.3		43812.4	56644.4	38831.5
G3V4T6	A0A0A0MR33;G3V267;G3V5T0;A0A0C4DFM0;G3V4T6	G3V4T6_HUMAN	GSTZ1	Maleylacetoacetate isomerase	11097.1	30825.9		144830	152964	164097	127731	25549.8	126254	161162	155477	101071
G5EA09	G5EA09	G5EA09_HUMAN	SDCBP	Syndecan binding protein (Syntenin), isoform CRA_a	1.10939e+06	1.09695e+06	1.11467e+06	991009	1.19859e+06	1.02434e+06	1.12806e+06	1.38518e+06	855145	935652	1.11489e+06	1.30489e+06
G9CGD6;Q8WWN9	G9CGD6;Q8WWN9;E5RGN6;A0A2Q2T6B6;E5RJQ7;E5RGB6	CNIPF_HUMAN;ICEF1_HUMAN	CNK3/IPCEF1;IPCEF1	CNK3/IPCEF1 fusion protein					179804				237620			
H0Y2S9	A0A494BZV2;H0Y2S9	H0Y2S9_HUMAN	MPRIP	Myosin phosphatase Rho-interacting protein (Fragment)	106318	142968	80755.3	136358	118789	106269	119560	92424.6	157783	131012	133678	111238
H0Y400	H0Y400	H0Y400_HUMAN	DDX39B	Spliceosome RNA helicase DDX39B (Fragment)	33064.8			32184.1	68164.9	68499.2	66701	56025.1	43182.9	30759.3	61484.9	69268.4
H0Y412	H0Y412	H0Y412_HUMAN	PRRC2B	Protein PRRC2B (Fragment)		15296.3			21100.2				11580.7	11488.3	8864.59	
H0Y5B0	H0Y5B0	H0Y5B0_HUMAN	EPB41L2	Band 4.1-like protein 2 (Fragment)	45798.6							46356.2				
H0Y6A0	H0Y6A0	H0Y6A0_HUMAN	ARFGAP3	ADP-ribosylation factor GTPase-activating protein 3 (Fragment)	181326	177433	155575	127712	144999	118656	112522	168284	197753	159703	166144	194893
H0Y704	H0Y704	H0Y704_HUMAN	ZNF185	Zinc finger protein 185 (Fragment)	106730	158533	142131	129561	160808	143496	168606	124489	172199	216371	189510	105403
H0Y7R8	H0Y7R8	H0Y7R8_HUMAN	AFDN	Afadin (Fragment)	94476.7	52997.3	93682.8	60160.3	59076.7	46491.2	63262.2	66114.5	52655.3	36985.5	49322.4	63731.8
H0Y7W6	H0Y7W6	H0Y7W6_HUMAN	FNBP1	Formin-binding protein 1 (Fragment)	57316.7	79455.7		48101.6	63461.2	53803.9	36826.2	38118.4	58261.6	37363.1		
H0YAR2	H0YAR2	H0YAR2_HUMAN	PABPC1	Polyadenylate-binding protein 1 (Fragment)			49859.3									
H0YFM9	H0YFM9	H0YFM9_HUMAN	PIGQ	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q (Fragment)	126382	149891	138029	139499	141597	152352	159853	133018	148804	132093	171311	125992
H0YG20	H0YG20	H0YG20_HUMAN	MAN1B1	alpha-1,2-Mannosidase	130680	192392		215849	193326	214088	248744	132898	234291	232154	241539	200960
H0YGG7	H0YGG7	H0YGG7_HUMAN		Uncharacterized protein (Fragment)	95856.3	93349.1	95041.3	66578	82109.1	107173	114497	66755.8	72544.1	207871	134062	91767.7
H3BM86	H3BM86	H3BM86_HUMAN	FAM219B	Protein FAM219B (Fragment)	40828	50425	20521.5	32016.7	36127.7	28436.2	30641.4	11407.5	36169.3	39732.8	42794.6	19573.6
H3BPS8	H3BPS8	H3BPS8_HUMAN	ALDOA	Fructose-bisphosphate aldolase A (Fragment)			275060		399196		442954	530477	459715		468690	
H3BQM0	H3BQM0	H3BQM0_HUMAN	TENT4B	Terminal nucleotidyltransferase 4B								49118				
H3BR70;H3BTN5	H3BR70;H3BTN5	H3BR70_HUMAN;H3BTN5_HUMAN	PKM	Pyruvate kinase		14780.2	70510.9	209666	19982	14818.1		22867.3	21010.4		28877.8	13034.9
H7BZG6	H7BZG6	H7BZG6_HUMAN	AP1S2	AP complex subunit sigma	34762.6				46329.8	56059.3	68075	44190.9		49189		44265
H7BZJ3	H7BZJ3	H7BZJ3_HUMAN	PDIA3	Protein disulfide-isomerase A3 (Fragment)	5.75307e+06	2.27727e+07	5.60795e+06	2.54659e+07	2.18783e+07	2.7207e+07	2.52067e+07	2.16929e+07	2.13527e+07	2.3711e+07	2.31288e+07	2.58342e+07
H7BZT5	H7BZT5	H7BZT5_HUMAN	ZNF185	Zinc finger protein 185	123468	167651	124052	92062.3	92121	102706	125303	102724	121963	97518.7	166605	97233.9
H7C0S2	H7C0S2	H7C0S2_HUMAN	OSCP1	Protein OSCP1 (Fragment)	55725.4	102655	47621.4	41472.9	53443.2	39109.5	45146.3	31914.9	31543.1	38349.2	40596.8	24650.7
H7C0V5	H7C0V5	H7C0V5_HUMAN	ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3 readthrough (Fragment)	86405.3	46289.4	84564.6	66625.5	61079.2		56965.2	121877			48565.5	76408.1
H7C0W7	H7C0W7	H7C0W7_HUMAN	FAM126A	Hyccin (Fragment)			51238.4	50975.8								
H7C144	H7C144	H7C144_HUMAN	ACTN4	Alpha-actinin-4 (Fragment)	176869	145941	183427	177582	167784	156584	147106	170378	168629	143228	125652	186932
H7C2K6	A0A0C4DH22;H7C2K6;A0A1B0GTW6	H7C2K6_HUMAN	EPB41L1	Band 4.1-like protein 1 (Fragment)	52327	89539.4		66100.6	75961.1	54885.6	62594.6		91084.6	67778.8	66700.8	52376.5
H7C2Y7	H7C2Y7	H7C2Y7_HUMAN	MYO1B	Unconventional myosin-Ib (Fragment)						50460.1						
H7C3C4	H7C3C4	H7C3C4_HUMAN	SLC4A7	Anion exchange protein (Fragment)	187133	202204	149954	124665	154433	176501	191877	308226	206984	137545	180798	239825
I3L213	I3L213	I3L213_HUMAN	PHKB	Phosphorylase b kinase regulatory subunit (Fragment)					32375				23825.2			25688.5
I3L2J0	I3L2J0;I3L2I4	I3L2J0_HUMAN	CIC	Protein capicua homolog	30623.6	39093.2	7421.21	40657.3	49268.3	27811.6	29336.1	11525.3	34253.6	39375.7	39113.4	18413
I3L4Q0	I3L4Q0	I3L4Q0_HUMAN	MCRIP1	HCG1818442, isoform CRA_a												45721.2
I3L505	I3L505	I3L505_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial (Fragment)	2.98277e+06	3.19819e+06	2.45526e+06	3.30259e+06	3.07811e+06	3.80495e+06	3.74109e+06	3.02769e+06	3.34131e+06	4.02785e+06	3.66293e+06	3.24539e+06
J3KNZ9	J3KNZ9	J3KNZ9_HUMAN	FBRS	Probable fibrosin-1	92734.2	66211.1	88912.6		59019.2	54798.9	49994.7	58125.2	63471.5		79876.6	95456
J3KPF0	J3KPF0;F8VWT9	J3KPF0_HUMAN	HECTD4	Probable E3 ubiquitin-protein ligase HECTD4	75584.8	126122	82886.9	80567.5	102689	107430	108812		108903	127002	91708	
J3KQL8	J3KQL8	J3KQL8_HUMAN	APOL2	Apolipoprotein L2	498456	778042	2.17787e+06	754317	610613	602222	646055	484215	829040	756885	762317	498065
J3KS54	J3KS54	J3KS54_HUMAN	FLII	Protein flightless-1 homolog	90609.1	68276.5	20207.8	61884.8	64342.2	70399.7	55747.4	74257.4	70320.5	52922.8	67640.5	67348.4
J3KSH8	J3KSH8	J3KSH8_HUMAN	JPT1	Jupiter microtubule-associated homolog 1 (Fragment)		144703		213801	278563	97366.3	171802	24785.9	195245	170227	273442	
J3KT37	A0A0A0MSA4;A0A0J9YW26;J3KT37;A0A0A0MRA8;A0A1B0GTF8;A8K968	J3KT37_HUMAN	EPB41L3	Band 4.1-like protein 3 (Fragment)		104213	44730.2	136172	137694	116382	94272.1	137127	54170.4	118695	113887	132057
J3KTD8	J3KTD8	J3KTD8_HUMAN	CBFB	Core-binding factor subunit beta (Fragment)	41713.2	48097.8	78392.6	43159.4	51407.7	40604.3	70416.6	73493.5	60909.1	43244.7	40362.8	58894
J3QQT0	J3QQT0	J3QQT0_HUMAN	MICAL3	[F-actin]-monooxygenase MICAL3 (Fragment)		67446.9			26325.4			55042	60067.9	55605.5	61072.9	82499.8
K7EIY3;K7EKA3;K7EKI1;K7EQ53	K7EIY3;K7EKI1;K7EKA3;K7EQ53	K7EIY3_HUMAN;K7EKA3_HUMAN;K7EKI1_HUMAN;K7EQ53_HUMAN	RHBDF2	Inactive rhomboid protein 2 (Fragment)		44871.2	48109.9	30945.9		34494.8	38529.9	63968	41816.2	44999.1	42111.9	44724.3
K7EJC2	K7EJC2	K7EJC2_HUMAN	GMIP	GEM-interacting protein (Fragment)		15085.5	19797.6					24028.2				
K7EJH8	K7EJH8	K7EJH8_HUMAN	ACTN4	Alpha-actinin-4 (Fragment)	975906	925064	990176	188836	252065	221197	176138	235072	224974	190868	175634	278530
K7EK43	K7EK43	K7EK43_HUMAN	TUBB6	Tubulin beta-6 chain (Fragment)	2.5721e+06	1.2617e+06	1.84234e+06	1.48853e+06	1.51385e+06	4.86667e+06	1.76579e+06	1.18476e+06	2.86721e+06	734053	1.61316e+06	3.8022e+06
K7EKH1	K7EKH1	K7EKH1_HUMAN	GCDH	Glutaryl-CoA dehydrogenase, mitochondrial (Fragment)	1.31608e+06	1.76612e+06	1.54219e+06	1.48587e+06	1.93467e+06	1.50319e+06	1.53132e+06	1.7331e+06	1.62141e+06	1.82019e+06	1.90652e+06	1.57818e+06
K7EL68	K7EL68	K7EL68_HUMAN	CDC37	Hsp90 co-chaperone Cdc37 (Fragment)	37491.4	28407	48669.7	21761.9	24283.1	39682.2	21207.9	30859.7	34078.8	42268.8	36436.4	36376.6
K7EMP1	K7EMP1	K7EMP1_HUMAN	CC2D1A	Coiled-coil and C2 domain-containing protein 1A (Fragment)					17524.5				27027.5	38759.9	46794.3	
K7EMQ3	Q9UQ16;K7EMQ3;E5RHK8;E5RIK2	K7EMQ3_HUMAN	DNM2	Dynamin-2 (Fragment)	43830.6	52353.3	12555.9	23733.6	19989.9	19088.3	16075.4	38576.4	19455	21806.6	22188.6	25242.3
K7ENF0	K7ENF0	K7ENF0_HUMAN	NARS1	Asparagine--tRNA ligase, cytoplasmic	969587	869123	108149	813397	803003	883391	833434	959780	901600	818207	824280	973277
K7EQS7	K7EQS7	K7EQS7_HUMAN	KDSR	3-ketodihydrosphingosine reductase (Fragment)		484523						397746		510327		
K7EQX8;Q6ZR64	Q6ZR64;K7EQX8	K7EQX8_HUMAN;Q6ZR64_HUMAN	MXRA7	Matrix-remodeling-associated protein 7	173345	157212	142075	243801	126869	155319	145670	187479	206278	207016	126122	175758
L0R6Q1	L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	247822	197912	265942	104374	87188	100144	103255	69892.7	109577	90302.4	119315	68433.8
